                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.75076,                0.58715,                0.06313,                0.66055,                0.52806,                0.59913,                0.32633,                0.56965,                0.76351,                0.04368,                0.00406,                0.00406,                0.00406
                     92,                0.70844,                0.62733,                0.05685,                0.66397,                0.53602,                0.60199,                0.32742,                0.56876,                0.76444,                0.04369,               0.003994,               0.003994,               0.003994
                     93,                0.75138,                0.63399,                0.06033,                0.66843,                0.53482,                 0.6014,                0.32569,                0.57296,                0.76012,                0.04379,               0.003928,               0.003928,               0.003928
                     94,                0.63231,                 0.5997,                0.04945,                0.65948,                0.53721,                0.60004,                0.32734,                0.57566,                0.75742,                0.04385,               0.003862,               0.003862,               0.003862
                     95,                0.60655,                0.54911,                0.04711,                0.66555,                0.54193,                0.60587,                   0.33,                0.57261,                0.75694,                0.04368,               0.003796,               0.003796,               0.003796
                     96,                0.72688,                0.54826,                0.05821,                0.66838,                0.54444,                0.60868,                0.33023,                0.57381,                0.75569,                0.04379,                0.00373,                0.00373,                0.00373
                     97,                0.64487,                0.53239,                0.04879,                0.66685,                0.54348,                0.60717,                0.33102,                0.57861,                0.74943,                0.04409,               0.003664,               0.003664,               0.003664
                     98,                0.73157,                0.58649,                0.05891,                 0.6662,                0.54109,                0.60559,                0.33177,                0.57743,                0.75209,                0.04417,               0.003598,               0.003598,               0.003598
                     99,                 0.6365,                0.56367,                0.04941,                0.67174,                0.54323,                0.60672,                0.33254,                0.58121,                0.74577,                0.04434,               0.003532,               0.003532,               0.003532
                    100,                0.62949,                0.59101,                0.04916,                0.67248,                  0.551,                0.61046,                0.33263,                0.58371,                0.74335,                0.04454,               0.003466,               0.003466,               0.003466
                    101,                0.74311,                 0.5536,                0.05598,                0.67383,                0.55199,                0.61359,                0.33238,                 0.5869,                0.73994,                0.04482,                 0.0034,                 0.0034,                 0.0034
                    102,                0.70455,                0.58446,                0.05565,                0.67431,                0.54516,                0.60904,                0.32828,                0.59454,                0.73577,                0.04526,               0.003334,               0.003334,               0.003334
                    103,                0.65919,                0.54948,                0.04991,                0.67099,                 0.5465,                0.60668,                0.32501,                0.59819,                0.73271,                0.04551,               0.003268,               0.003268,               0.003268
                    104,                0.73426,                0.55296,                0.05536,                 0.6758,                0.55033,                0.60475,                0.31992,                0.60325,                0.73266,                0.04589,               0.003202,               0.003202,               0.003202
                    105,                0.76751,                0.60549,                 0.0597,                0.67661,                0.55124,                0.60732,                0.31946,                0.60572,                   0.73,                0.04606,               0.003136,               0.003136,               0.003136
                    106,                0.53649,                0.53173,                0.04046,                0.67805,                0.54902,                  0.606,                0.31897,                0.60871,                0.72719,                0.04624,                0.00307,                0.00307,                0.00307
                    107,                0.52126,                0.49675,                0.03911,                0.68015,                0.55508,                0.60736,                0.32012,                0.61137,                0.72325,                0.04642,               0.003004,               0.003004,               0.003004
                    108,                0.59896,                0.49431,                0.04414,                0.67195,                 0.5598,                 0.6101,                0.32251,                0.61147,                0.72003,                0.04666,               0.002938,               0.002938,               0.002938
                    109,                0.60343,                0.53076,                0.04498,                0.67851,                0.56201,                0.61379,                0.32527,                 0.6116,                0.72014,                0.04632,               0.002872,               0.002872,               0.002872
                    110,                0.67564,                0.52953,                0.05031,                0.68546,                0.56272,                0.61689,                0.32572,                0.61438,                0.71675,                0.04644,               0.002806,               0.002806,               0.002806
                    111,                0.65326,                0.54929,                0.04818,                0.68731,                0.56621,                0.61926,                0.32818,                0.61372,                0.71546,                0.04647,                0.00274,                0.00274,                0.00274
                    112,                0.68399,                0.56819,                0.05081,                0.69111,                0.57258,                0.62481,                 0.3275,                0.61239,                0.71422,                0.04632,               0.002674,               0.002674,               0.002674
                    113,                0.71233,                0.55947,                0.05228,                0.69203,                0.57204,                0.62431,                0.32728,                0.61101,                0.71429,                0.04638,               0.002608,               0.002608,               0.002608
                    114,                 0.6758,                0.57712,                0.05052,                0.69487,                0.57788,                 0.6277,                0.32567,                0.60871,                0.71713,                0.04631,               0.002542,               0.002542,               0.002542
                    115,                0.55089,                0.53185,                0.04069,                0.69955,                 0.5787,                 0.6277,                0.32386,                0.60931,                0.71576,                0.04634,               0.002476,               0.002476,               0.002476
