                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.95307,                0.75277,                0.05163,                0.51477,                0.27874,                0.24433,                0.12926,                0.57137,                0.97314,                 0.0316,               0.006898,               0.006898,               0.006898
                     96,                 0.9073,                0.76195,                0.04651,                 0.4639,                0.29532,                0.25287,                0.13369,                0.54879,                 1.0012,                0.03034,               0.006865,               0.006865,               0.006865
                     97,                 1.0138,                 0.6885,                0.05344,                0.49889,                0.30004,                0.26508,                0.14798,                0.52701,                 1.0014,                0.02922,               0.006832,               0.006832,               0.006832
                     98,                0.99588,                0.71036,                0.05272,                0.48902,                0.30206,                0.26418,                0.14958,                0.51962,                 1.0006,                0.02885,               0.006799,               0.006799,               0.006799
                     99,                 1.1447,                0.62722,                0.06936,                0.50644,                0.30961,                 0.2718,                0.15938,                0.48767,                 1.0137,                0.02818,               0.006766,               0.006766,               0.006766
                    100,                 1.2433,                0.58596,                0.08758,                0.44286,                0.29562,                0.24011,                0.13664,                0.52317,                 1.0038,                0.03124,               0.006733,               0.006733,               0.006733
                    101,                 1.2445,                0.59283,                0.08456,                0.45445,                0.28712,                0.23054,                 0.1283,                0.57591,                0.96541,                0.03434,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0574,                0.70492,                0.06188,                0.39249,                0.20958,                 0.1495,                0.05482,                0.78273,                0.92394,                0.04393,               0.006667,               0.006667,               0.006667
                    103,                0.95956,                0.72699,                0.05053,                0.35565,                0.18267,                  0.109,                 0.0341,                0.80594,                0.92079,                0.04465,               0.006634,               0.006634,               0.006634
                    104,                 1.1217,                 0.6501,                0.06634,                0.44233,                0.24466,                 0.1723,                0.06178,                0.72616,                0.92446,                0.04043,               0.006601,               0.006601,               0.006601
                    105,                0.92486,                0.75234,                0.04841,                0.45473,                0.26882,                0.22181,                0.10098,                0.66094,                0.92698,                0.03633,               0.006568,               0.006568,               0.006568
                    106,                0.96024,                 0.7249,                0.04856,                0.51853,                0.28083,                0.23799,                0.11823,                 0.6133,                 0.9502,                0.03409,               0.006535,               0.006535,               0.006535
                    107,                 1.1533,                0.64331,                0.07186,                0.54426,                0.29689,                0.25654,                0.14171,                0.55028,                0.97172,                0.03161,               0.006502,               0.006502,               0.006502
                    108,                 1.1404,                0.63441,                0.07541,                0.50627,                0.29991,                0.25256,                0.14268,                0.56652,                0.94518,                0.03342,               0.006469,               0.006469,               0.006469
                    109,                0.97798,                0.71699,                0.05094,                0.53849,                0.29019,                0.24649,                0.13414,                0.59786,                0.92784,                 0.0345,               0.006436,               0.006436,               0.006436
                    110,                0.93192,                 0.7353,                0.04719,                0.50795,                 0.2949,                0.24907,                0.13479,                0.59428,                0.93323,                0.03396,               0.006403,               0.006403,               0.006403
                    111,                 0.9224,                0.74166,                0.04711,                0.51034,                0.30072,                0.25576,                0.14242,                0.57153,                0.94512,                0.03237,                0.00637,                0.00637,                0.00637
                    112,                0.96835,                0.71367,                0.05231,                0.53723,                0.30341,                0.27228,                0.15412,                0.55916,                0.95271,                0.03135,               0.006337,               0.006337,               0.006337
                    113,                0.92704,                 0.7366,                0.04736,                0.54036,                0.31099,                0.26883,                0.15564,                0.53981,                0.96004,                0.03038,               0.006304,               0.006304,               0.006304
                    114,                 1.1419,                0.64167,                0.06513,                0.54752,                0.31416,                0.27153,                0.16141,                0.52718,                0.96115,                 0.0299,               0.006271,               0.006271,               0.006271
                    115,                  1.001,                0.69715,                0.05241,                0.55184,                0.31056,                 0.2721,                0.16283,                0.51637,                0.96985,                0.02943,               0.006238,               0.006238,               0.006238
                    116,                 1.0556,                0.68075,                0.06067,                0.54506,                0.31642,                0.27329,                0.16726,                0.50434,                0.97654,                0.02877,               0.006205,               0.006205,               0.006205
                    117,                 1.0467,                0.69612,                0.06361,                0.53978,                0.31559,                0.27498,                0.16804,                0.50132,                0.97894,                0.02861,               0.006172,               0.006172,               0.006172
                    118,                 0.8434,                0.77434,                0.04095,                0.54718,                0.32308,                0.28182,                0.17363,                0.49487,                 0.9791,                0.02811,               0.006139,               0.006139,               0.006139
                    119,                0.92795,                0.72474,                0.04571,                0.54709,                0.32202,                 0.2858,                0.17748,                0.48826,                0.98343,                0.02771,               0.006106,               0.006106,               0.006106
                    120,                0.93569,                0.74407,                0.04786,                0.54122,                0.33242,                0.28777,                0.18017,                0.48362,                 0.9896,                 0.0274,               0.006073,               0.006073,               0.006073
                    121,                 1.0149,                0.69877,                0.05409,                0.54651,                0.32148,                0.28358,                 0.1768,                0.48587,                0.99236,                0.02761,                0.00604,                0.00604,                0.00604
                    122,                0.99566,                0.71389,                0.05207,                0.54246,                0.32496,                 0.2848,                0.17665,                0.49249,                0.98661,                0.02781,               0.006007,               0.006007,               0.006007
                    123,                 1.1294,                 0.6259,                0.06668,                0.54282,                0.32667,                0.28608,                0.17808,                0.49052,                0.98147,                0.02778,               0.005974,               0.005974,               0.005974
                    124,                 1.0981,                0.63913,                0.05774,                0.54694,                0.32916,                0.28563,                0.17489,                0.51003,                0.96368,                0.02837,               0.005941,               0.005941,               0.005941
                    125,                 1.0166,                0.69317,                0.05295,                0.54806,                0.32508,                0.28413,                0.17354,                 0.5154,                0.96106,                0.02834,               0.005908,               0.005908,               0.005908
                    126,                 1.0815,                0.66298,                0.05637,                0.54496,                0.32453,                 0.2837,                0.17286,                 0.5197,                0.95763,                0.02845,               0.005875,               0.005875,               0.005875
                    127,                 1.0017,                0.70078,                0.05221,                0.55254,                0.32476,                0.28499,                0.17245,                0.52098,                 0.9568,                0.02849,               0.005842,               0.005842,               0.005842
